manufacturer,model,type,iata_code,icao_code
Aeroprakt,"8KCAB Decathlon, 8GCBC Scout",Airplane,,BL8
Aeroprakt,Aeroprakt A-22 Foxbat / A-22 Valor / A-22 Vision,Airplane,,AP22
Aerospatiale,Aerospatiale (Nord) 262,Airplane,ND2,N262
Aerospatiale,Aerospatiale (Sud Aviation) Se.210 Caravelle,Airplane,CRV,S210
Aerospatiale,Aerospatiale SN.601 Corvette,Airplane,NDC,S601
Aerospatiale,Aerospatiale/Alenia ATR 42-300 / 320,Airplane,AT4,AT43
Aerospatiale,Aerospatiale/Alenia ATR 42-500,Airplane,AT5,AT45
Aerospatiale,Aerospatiale/Alenia ATR 42-600,Airplane,ATR,AT46
Aerospatiale,Aerospatiale/Alenia ATR 72,Airplane,AT7,AT72
Aerospatiale,Aerospatiale/Alenia ATR 72-200 series,Airplane,ATR,AT73
Aerospatiale,Aerospatiale/Alenia ATR 72-500,Airplane,ATR,AT75
Aerospatiale,Aerospatiale/Alenia ATR 72-600,Airplane,ATR,AT76
Airbus,Airbus A220-100,Airplane,221,BCS1
Airbus,Airbus A220-300,Airplane,223,BCS3
Airbus,Airbus A300 (deprecated 1997: code replaced),Airplane,,EA30
Airbus,Airbus A300-600,Airplane,AB6,A306
Airbus,"Airbus A300-600ST ""Super Transporter"" / ""Beluga""",Airplane,ABB,A3ST
Airbus,"Airbus A300B2, A300B4, and A300C4",Airplane,AB4,A30B
Airbus,Airbus A310 (deprecated 1997: code replaced),Airplane,,EA31
Airbus,Airbus A310-200,Airplane,312,A310
Airbus,Airbus A310-300,Airplane,313,A310
Airbus,Airbus A318,Airplane,318,A318
Airbus,Airbus A318 (sharklets),Airplane,32C,A318
Airbus,Airbus A319,Airplane,319,A319
Airbus,Airbus A319 (sharklets),Airplane,32D,A319
Airbus,Airbus A319neo,Airplane,31N,A19N
Airbus,Airbus A320,Airplane,320,A320
Airbus,Airbus A320 (deprecated 1997: code replaced),Airplane,,EA32
Airbus,Airbus A320 (sharklets),Airplane,32A,A320
Airbus,Airbus A320neo,Airplane,32N,A20N
Airbus,Airbus A321,Airplane,321,A321
Airbus,Airbus A321 (sharklets),Airplane,32B,A321
Airbus,Airbus A321neo,Airplane,32Q,A21N
