airline;iata_code;3_digit_code;icao_code;country_or_territory
ABX Air;GB;832;ABX;United States
Aegean Airlines;A3;390;AEE;Greece
Aer Lingus;EI;053;EIN;Ireland
Aero Republica;P5;;RPB;Colombia
Aeroflot;SU;555;AFL;Russian Federation
Aeroitalia;XZ;419;AEZ;Italy
Aerolineas Argentinas;AR;044;ARG;Argentina
Aeromexico;AM;139;AMX;Mexico
Africa World Airlines;AW;394;AFW;Ghana
Afrijet;J7;277;ABS;Gabon
Air Algérie;AH;124;DAH;Algeria
Air Arabia;G9;514;ABY;United Arab Emirates
Air Astana;KC;465;KZR;Kazakhstan
Air Astra;2A;610;AWA;Bangladesh
Air Atlanta Icelandic;CC;318;ABD;Iceland
Air Austral;UU;760;REU;France
Air Baltic;BT;657;BTI;Latvia
Air Botswana;BP;636;BOT;Botswana
Air Cairo;SM;381;MSC;Egypt
Air Caledonie;TY;190;TPC;New Caledonia
Air Cambodia;K6;188;KHV;Cambodia
Air Canada;AC;014;ACA;Canada
Air Caraibes;TX;427;FWI;Guadeloupe
Air Changan;9H;856;CGN;China
Air China;CA;999;CCA;China
Air Corsica;XK;146;CCM;France
Air Dolomiti;EN;101;DLA;Italy
Air Europa;UX;996;AEA;Spain
Air France;AF;057;AFR;France
Air Guilin;GT;730;CGH;China
Air Hong Kong;LD;288;AHK;China
Air Incheon;KJ;994;AIH;Korea
Air India;AI;098;AIC;India
Air Koryo;JS;120;KOR;Korea
Air Macau;NX;675;AMU;China
Air Mauritius;MK;239;MAU;Mauritius
Air Montenegro;4O;400;MNE;Montenegro
Air New Zealand;NZ;086;ANZ;New Zealand
Air Niugini;PX;656;ANG;Papua New Guinea
Air Nostrum;YW;694;ANE;Spain
Air Peace;P4;710;APK;Nigeria
Air Serbia;JU;115;ASL;Serbia
Air Seychelles;HM;061;SEY;Seychelles
Air Tahiti;VT;135;VTA;French Polynesia
Air Tahiti Nui;TN;244;THT;French Polynesia
Air Tanzania;TC;197;ATC;Tanzania
Air Transat;TS;649;TSC;Canada
Air Vanuatu;NF;218;AVN;Vanuatu
AirBridgeCargo Airlines;RU;580;ABW;Russian Federation
Aircalin;SB;063;ACI;New Caledonia
Airline Geosky / Georgian Wings;D4;330;GEL;Georgia
Airlink;4Z;749;LNK;South Africa
Alaska Airlines;AS;027;ASA;United States
Albastar;AP;;LAV;Spain
AlMasria Universal Airlines;UJ;110;LMU;Egypt
Amelia;8R;948;AIA;France
American Airlines;AA;001;AAL;United States
ANA;NH;205;ANA;Japan
APG Airlines;GP;275;RIV;France
Arkia Israeli Airlines;IZ;238;AIZ;Israel
Asiana Airlines;OZ;988;AAR;Korea
ASKY;KP;032;SKK;Togo
ASL Airlines Belgium;3V;756;TAY;Belgium
ASL Airlines France;5O;558;FPO;France
ASL Airlines Ireland;5H;914;ABR;Ireland
Atlantic Airways;RC;767;FLI;Faroe Islands
Atlas Air;5Y;369;GTI;United States
Austrian;OS;257;AUA;Austria
Avianca;AV;134;AVA;Colombia
Avianca Costa Rica;LR;133;LRC;Costa Rica
Avianca Ecuador;2K;547;GLG;Ecuador
Avion Express;X9;;NVD;Lithuania
Avion Express Malta;4X;;MLH;Malta
Azerbaijan Airlines;J2;771;AHY;Azerbaijan
Azores Airlines;S4;331;RZO;Portugal
Azul Brazilian Airlines;AD;577;AZU;Brazil
Badr Airlines;J4;367;BDR;Sudan
Bahamasair;UP;111;BHS;Bahamas
Bamboo Airways;QH;926;BAV;Viet Nam
Bangkok Airways;PG;829;BKP;Thailand
Batik Air;ID;938;BTK;Indonesia
Batik Air Malaysia;OD;816;MXD;Malaysia
Belavia Belarusian Airlines;B2;;BRU;Belarus
Biman Bangladesh Airlines;BG;997;BBC;Bangladesh
Binter Canarias;NT;474;IBB;Spain
Blue Bird Airways;BZ;404;BBG;Greece
BoA Boliviana de Aviacion;OB;930;BOV;Bolivia
Braathens Regional Airways;TF;276;BRX;Sweden
British Airways;BA;125;BAW;United Kingdom
Brussels Airlines;SN;082;BEL;Belgium
Bulgaria Air;FB;623;LZB;Bulgaria
Camair-Co;QC;040;CRC;Cameroon
Capital Airlines;JD;898;CBJ;China
Cargojet Airways;W8;489;CJT;Canada
Cargolux;CV;172;CLX;Luxembourg
Caribbean Airlines;BW;106;BWA;Trinidad and Tobago
Carpatair;V3;021;KRP;Romania
Cathay Pacific;CX;160;CPA;China
Cebu Pacific;5J;203;CEB;Philippines
CemAir;5Z;225;KEM;South Africa
Chalair;CE;980;CLG;France
Challenge Airlines (BE);X7;744;CHG;Belgium
Challenge Airlines (IL);5C;700;ICL;Israel
China Airlines;CI;297;CAL;China
China Cargo Airlines;CK;112;CKK;China
China Eastern;MU;781;CES;China
China Express Airlines;G5;987;HXA;China
China Postal Airlines;CF;804;CYZ;China
China Southern Airlines;CZ;784;CSN;China
China United Airlines;KN;822;CUA;China
CityJet;WX;689;BCY;Ireland
Clic Air;VE;246;EFY;Colombia
Condor;DE;881;CFG;Germany
Congo Airways;8Z;582;CGA;Congo
COPA Airlines;CM;230;CMP;Panama
Corendon Airlines;XC;395;CAI;Turkey
Corsair International;SS;923;CRL;France
Croatia Airlines;OU;831;CTN;Croatia
Cubana;CU;136;CUB;Cuba
Cyprus Airways;CY;078;CYP;Cyprus
DAN AIR;DN;;DNA;Romania
DAT (LT);R6;;DNU;Lithuania
Delta Air Lines;DL;006;DAL;United States
DHL Air;D0;936;DHK;United Kingdom
DHL Aviation;ES;155;DHX;Bahrain
Discover Airlines;4Y;693;OCN;Germany
Eastern Airlines;2D;;;United States
Eastern Airways;T3;467;EZE;United Kingdom
Edelweiss Air;WK;945;EDW;Switzerland
Egyptair;MS;077;MSR;Egypt
EL AL;LY;114;ELY;Israel
Electra Airways;3E;;EAF;Bulgaria
Emirates;EK;176;UAE;United Arab Emirates
Ethiopian Airlines;ET;071;ETH;Ethiopia
Etihad Airways;EY;607;ETD;United Arab Emirates
EuroAtlantic Airways;YU;551;MMZ;Portugal
European Air Transport;QY;615;BCS;Germany
