type,name,latitude_deg,longitude_deg,continent,iso_country,iso_region,municipality,icao_code,iata_code,timezone
small_airport,Utirik Airport,11.222219,169.851429,OC,MH,MH-UTI,Utirik Island,,UTK,Pacific/Majuro
small_airport,Ocean Reef Club Airport,25.325399398804,-80.274803161621,NA,US,US-FL,Key Largo,,OCA,America/New_York
small_airport,Cuddihy Field,27.7211,-97.512802,NA,US,US-TX,Corpus Christi,,CUX,America/Chicago
small_airport,Crested Butte Airpark,38.851918,-106.928341,NA,US,US-CO,Crested Butte,,CSE,America/Denver
small_airport,Columbus Airport,31.823898,-107.629924,NA,US,US-NM,Columbus,,CUS,America/Denver
small_airport,LBJ Ranch Airport,30.251801,-98.622498,NA,US,US-TX,Stonewall,,JCY,America/Chicago
seaplane_base,Loring Seaplane Base,55.601299,-131.636993,NA,US,US-AK,Loring,,WLR,America/Sitka
small_airport,Nunapitchuk Airport,60.905591,-162.440454,NA,US,US-AK,Nunapitchuk,,NUP,America/Nome
seaplane_base,Port Alice Seaplane Base,55.803,-133.597,NA,US,US-AK,Port Alice,,PTC,America/Sitka
small_airport,Icy Bay Airport,59.966269,-141.660118,NA,US,US-AK,Icy Bay,,ICY,America/Anchorage
seaplane_base,Port Protection Seaplane Base,56.328800201416,-133.61000061035,NA,US,US-AK,Port Protection,,PPV,America/Sitka
small_airport,Kalakaket Creek AS Airport,64.4166256967,-156.820392609,NA,US,US-AK,Kalakaket Creek,,KKK,America/Anchorage
small_airport,Dunsmuir Muni-Mott Airport,41.263199,-122.272003,NA,US,US-CA,Dunsmuir,,MHS,America/Los_Angeles
small_airport,Chase Field Industrial Airport,28.362444,-97.661917,NA,US,US-TX,Beeville,,NIR,America/Chicago
small_airport,Grand Canyon Bar Ten Airstrip,36.258614,-113.231159,NA,US,US-AZ,Littlefield,,GCT,America/Phoenix
seaplane_base,Ellamar Seaplane Base,60.893818,-146.704038,NA,US,US-AK,Ellamar,,ELW,America/Anchorage
small_airport,Lime Village Airport,61.3591003418,-155.440002441,NA,US,US-AK,Lime Village,,LVD,America/Anchorage
small_airport,Hog River Airport,66.176133,-155.684816,NA,US,US-AK,Hogatza,,HGZ,America/Anchorage
small_airport,Ed-Air Airport,38.851782,-87.49987,NA,US,US-IN,Oaktown,,OTN,America/Indiana/Vincennes
small_airport,Telida Airport,63.393901824951,-153.26899719238,NA,US,US-AK,Telida,,TLF,America/Anchorage
small_airport,Eagle Air Park,28.982200622559,-95.579696655273,NA,US,US-TX,Brazoria,,BZT,America/Chicago
seaplane_base,Entrance Island Seaplane Base,57.412201,-133.43848,NA,US,US-AK,Entrance Island,,HBH,America/Juneau
seaplane_base,False Island Seaplane Base,57.5321998596,-135.212997437,NA,US,US-AK,False Island,,FAK,America/Sitka
small_airport,Blakely Island Airport,48.579162,-122.823844,NA,US,US-WA,Blakely Island,,BYW,America/Los_Angeles
small_airport,Drift River Airport,60.588901519800004,-152.162002563,NA,US,US-AK,Kenai,,DRF,America/Anchorage
small_airport,Rinkenberger Restricted Landing Area,41.230899810800004,-89.61569976810001,NA,US,US-IL,Bradford,,BDF,America/Chicago
small_airport,Tetlin Airport,63.124618,-142.518005,NA,US,US-AK,Tetlin,,TEH,America/Anchorage
small_airport,Roy Otten Memorial Airfield,38.427799224854,-92.875198364258,NA,US,US-MO,Versailles,,VRS,America/Chicago
seaplane_base,Golden Horn Lodge Seaplane Base,59.7470016479,-158.875,NA,US,US-AK,Golden Horn Lodge,,GDH,America/Anchorage
small_airport,Atmautluak Airport,60.866699,-162.272996,NA,US,US-AK,Atmautluak,,ATT,America/Nome
small_airport,Livengood Camp Airport,65.467,-148.6534,NA,US,US-AK,Livengood,,LIV,America/Anchorage
small_airport,Pedro Bay Airport,59.796925,-154.129994,NA,US,US-AK,Pedro Bay,,PDB,America/Anchorage
small_airport,Ouzinkie Airport,57.942094,-152.464314,NA,US,US-AK,Ouzinkie,,KOZ,America/Anchorage
small_airport,Tununak Airport,60.569638,-165.246649,NA,US,US-AK,Tununak,,TNK,America/Nome
seaplane_base,Hyder Seaplane Base,55.903324,-130.009975,NA,US,US-AK,Hyder,,WHD,America/Sitka
small_airport,Minto Al Wright Airport,65.147991,-149.368658,NA,US,US-AK,Minto,,MNT,America/Anchorage
seaplane_base,Tokeen Seaplane Base,55.9370994568,-133.32699585,NA,US,US-AK,Tokeen,,TKI,America/Sitka
medium_airport,Aleknagik / New Airport,59.2826004028,-158.617996216,NA,US,US-AK,Aleknagik,,WKK,America/Anchorage
seaplane_base,Ketchikan Harbor Seaplane Base,55.349899,-131.677002,NA,US,US-AK,Ketchikan,,WFB,America/Sitka
small_airport,Rollang Field,32.953543,-90.845144,NA,US,US-MS,Rolling Fork,,RFK,America/Chicago
small_airport,Naknek Airport,58.735633,-157.02216,NA,US,US-AK,Naknek,,NNK,America/Anchorage
seaplane_base,Lake Brooks Seaplane Base,58.554798,-155.776993,NA,US,US-AK,Katmai National Park,,BKF,America/Anchorage
small_airport,Southern Seaplane Airport,29.866078,-90.021608,NA,US,US-LA,Belle Chasse,,BCS,America/Chicago
small_airport,Minute Man Air Field,42.460298,-71.519031,NA,US,US-MA,Stow,,MMN,America/New_York
heliport,Catalina Air-Sea Terminal Heliport,33.7491989136,-118.275001526,NA,US,US-CA,San Pedro,,SPQ,America/Los_Angeles
heliport,East 34th Street Heliport,40.742372,-73.972074,NA,US,US-NY,New York,,TSS,America/New_York
seaplane_base,New York Skyports Inc Seaplane Base,40.735061,-73.972814,NA,US,US-NY,New York,,NYS,America/New_York
small_airport,Earl Henry Airport,36.7958984375,-97.3170013428,NA,US,US-OK,Blackwell,,BWL,America/Chicago
seaplane_base,Yes Bay Lodge Seaplane Base,55.9163017273,-131.800994873,NA,US,US-AK,Yes Bay,,WYB,America/Sitka
small_airport,Center Island Airport,48.490046,-122.831612,NA,US,US-WA,Center Island,,CWS,America/Los_Angeles
small_airport,Tatitlek Airport,60.871449,-146.690297,NA,US,US-AK,Tatitlek,,TEK,America/Anchorage
small_airport,Pine Island Airport,36.252744,-75.785256,NA,US,US-NC,Corolla,,DUF,America/New_York
small_airport,Stuart Island Airpark,48.673379,-123.175439,NA,US,US-WA,Friday Harbor,,SSW,America/Los_Angeles
